ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7362012;Records of polychlorinated biphenyls (PCBs) in sediments of four remote Chilean Andean Lakes;Pozo, K., Urrutia, R., Barra, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""PCB - Polychlorinated biphenyls""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7362011;TEMPORAL TRENDS OF POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) IN A DATED SEDIMENT CORE OF A HIGH ATITUDE MOUNTAIN LAKE: CHUNGARA LAKE-NORTHERN CHILE (18 degrees S);Pozo, K., Perra, G., Gomez, V.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Physical measurements of pollutants"", ""concentrations"", ""Chemical composition""";"""Other"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Wildfires"", ""Others not classified"", ""Natural sources """
7362010;Persistent Organic Pollutants (POPs) in the atmosphere of three Chilean cities using passive air samplers;Pozo, K., Oyola, G., Estellano, V. H.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Chemical composition""";"""PM - particulate matter"", ""POPs - persistent organic pollutants"", ""PCB - Polychlorinated biphenyls""";"""Season - Year""";"""Regional""";"""Only national""";"""Central zone"", ""South zone""";"""Industrial and commercial emissions "", ""Agriculture "", ""Others not classified"""
7362009;Occurrence of chlorpyrifos in the atmosphere of the Araucania Region in Chile using polyurethane foam-based passive air samplers;Pozo, K., Llanos, Y., Estellano, V. H.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Human health""";"""concentrations""";"""POPs - persistent organic pollutants""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Agriculture """
7362008;Passive-sampler derived air concentrations of persistent organic pollutants on a north-south transect in Chile;Pozo, K., Harner, T., Shoeib, M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Ecological  (animal, plants)""";"""concentrations"", ""Meteorological measurements"", ""Chemical composition""";"""PCB - Polychlorinated biphenyls"", ""POPs - persistent organic pollutants""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Agriculture """
7362007;Survey of persistent organic pollutants (POPs) and polycyclic aromatic hydrocarbons (PAHs) in the atmosphere of rural, urban and industrial areas of Concepcion, Chile, using passive air samplers;Pozo, K., Harner, T., Rudolph, A.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)"", ""International organization""";"""Information of the public""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""POPs - persistent organic pollutants"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Industrial and commercial emissions "", ""Agriculture """
7362006;Assessing Polycyclic Aromatic Hydrocarbons (PAHs) using passive air sampling in the atmosphere of one of the most wood-smoke-polluted cities in Chile: The case study of Temuco;Pozo, K., Estellano, V. H., Harner, T.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Chemical composition""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7362005;Synoptic and local circulations associated with events of high particulate pollution in Valparaiso, Chile;Pozo, D., MarÃ­n, J. C., Raga, G. B.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Physical measurements of pollutants"", ""concentrations"", ""Computer Modeling"", ""Meteorological measurements""";"""PM - particulate matter"", ""PHYS - Physical measurements (eg radiation)"", ""C  - TC/EC/OC/BC - Carbon compounds""";"""Season - Year""";"""Regional"", ""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Power generation"", ""Industrial and commercial emissions """
7362004;The efficacy of aerosol-cloud radiative perturbations from near-surface emissions in deep open-cell stratocumuli;Possner, A., Wang, H. L., Wood, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Ambient (eg outdoor)""";"""Climate""";"""concentrations"", ""Physical measurements of pollutants"", ""Meteorological measurements"", ""Computer Modeling""";"""PHYS - Physical measurements (eg radiation)""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""Great North""";"""Natural sources "", ""Industrial and commercial emissions """
7362003;Changes in heavy metals in Antarctic snow from Coats Land since the mid-19th to the late-20th century;Planchon, F. A. M., Boutron, C. F., Barbante, C.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362002;Environmental regulations and impact of manure generated by livestock operations in some american countries;Pinos-RodrÃ­guez, J. M., GarcÃ­a-LÃ³pez, J. C., PeÃ±a-Avelino, L. Y.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362001;Sensitivity analysis of biodiesel blends on Benzo[a]pyrene and main emissions using MOVES: A case study in Temuco, Chile;Pino-CortÃ©s, E., DÃ­az-Robles, L. A., Cubillos, F.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""Computer Modeling"", ""concentrations""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos "", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Traffic """
7362000;Effect of socioeconomic status on the relationship between short-term exposure to PM2.5 and cardiorespiratory mortality and morbidity in a megacity: the case of Santiago de Chile;Pino-CortÃ©s, E., DÃ­az-Robles, L. A., Campos, V.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""Epidemiological"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361999;Indoor air pollution in South East Santiago;Pino Z, P., OyarzÃºn G, M., Walter K, T.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361998;Rapid drop in infant blood lead levels during the transition to unleaded gasoline use in Santiago, Chile;Pino, P., Walter, T., OyarzÃºn, M. J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Monitoring network design""";"""Managment, economic, legal, social"", ""Laboratory""";"""Regulatory and Legal"", ""Human health""";"""concentrations"", ""Toxicological""";"""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361997;Fine particulate matter and wheezing illnesses in the first year of life;Pino, P., Walter, T., Oyarzun, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361996;Chile confronts its environmental health future after 25 years of accelerated growth;Pino, P., Iglesias, V., Garreaud, R.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361995;Respiratory symptoms and cough reflex in populations exposed to different degrees of pollution;PertuzÃ© R, J., Valdivia C, G., Barros M, M.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361994;Air-pollution modelling in an urban area: Correlating turbulent diffusion coefficients by means of an artificial neural network approach;PÃ©rez-Roa, R., Castro, J., Jorquera, H.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7361993;Clean Bus Technologies and the Cost-Effectiveness of Emissions Reductions in Latin America;PÃ©rez-Prada, F., Alves, B. B., Sethi, K.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Private sector"", ""International organization""";"""Monitoring network design""";"""Managment, economic, legal, social""";"""Economic""";"""concentrations"", ""Others not classified""";"""GHGs - greenhouse gases"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361992;Prediction of PM2.5 concentrations several hours in advance using neural networks in Santiago, Chile;PÃ©rez, P., Trier, A., Reyes, J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling""";"""Ambient (eg outdoor)""";"""Others not classified"", ""Not applicable""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361991;Prediction of NO and NO2 concentrations near a street with heavy traffic in Santiago, Chile;Perez, P., Trier, A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Monitoring network design""";"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling""";"""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361990;PM2.5 forecasting in a large city: Comparison of three methods;Perez, P., Salini, G. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7361989;A model for PM2.5 forecasting in Santiago, Chile;Perez, P., Rodriguez, P. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361988;An integrated neural network model for PM10 forecasting;Perez, P., Reyes, J. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361987;Prediction of maximum of 24-h average of PM10 concentrations 30 h in advance in Santiago, Chile;Perez, P., Reyes, J. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Computer Modeling"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Domestic heating / wood burning"", ""Industrial and commercial emissions """
7361986;Prediction of particulate air pollution using neural techniques;Perez, P., Reyes, J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment"", ""Information of the public""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""concentrations"", ""Computer Modeling""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361985;Carbon monoxide concentration forecasting in santiago, Chile;Perez, P., Palacios, R., Castillo, A. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Laboratory study""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations"", ""Computer Modeling""";"""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361984;Comparison of two PM2.5 forecasting models in Osorno, Chile;Perez, P., NuÃ±ez, B. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7361983;PM2.5 forecasting in Coyhaique, the most polluted city in the Americas;Perez, P., Menares, C., RamÃ­rez, C. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Austral austral""";"""Domestic heating / wood burning"""
7361982;PM2.5 forecasting in the most polluted city in South America;Perez, P., Menares, C., Ramirez, C. ;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361981;Forecasting of hourly PM2.5 in south-west zone in Santiago de Chile;Perez, P., Menares, C. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Laboratory study""";"""Technological development""";"""Human health""";"""Computer Modeling""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361980;Forecasting hourly PM2.5 in Santiago de Chile with emphasis on night episodes;Perez, P., Gramsch, E. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Laboratory study""";"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361979;Combined model for PM10 forecasting in a large city;Perez, P. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7361978;Air quality forecasting in a large city;Perez, P. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361977;Prediction of sulfur dioxide concentrations at a site near downtown Santiago, Chile;Perez, P. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations"", ""Computer Modeling""";"""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Domestic heating / wood burning"", ""Industrial and commercial emissions """
7361976;NON-SYMBIOTIC NITROGEN FIXATION, NET NITROGEN MINERALIZATION AND DENITRIFICATION IN EVERGREEN FORESTS OF CHILOÃ‰ ISLAND, CHILE: A COMPARISON WITH OTHER TEMPERATE FORESTS;PÃ©rez, C. A., Carmona, M. R., Armesto, J. J. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361975;The extent of the ozone hole over South America during the spring of 1993, 1994, and 1995;Perez, A., de Carcer, I. A., Tocho, J. O.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361974;Comparative study of the presence of heavy metals utilizing epiphytic corticolous lichens in Talca city, Maule Region, Chile;Pereira, Iris, Tapia, Jaime, ErrÃ¡zuriz, Ignacio  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Traffic """
7361973;JÃ³venes universitarios y medio ambiente en Chile: Percepciones y comportamientos;Pavez-Soto, Iskra, LeÃ³n-Valdebenito, Carolina, TriadÃº-Figueras, VerÃ³nica ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Compliance assessment""";"""Managment, economic, legal, social""";"""Social and Cultural""";"""Others not classified""";"""Other""";"""Not applicable""";"""Local (rural, suburban, urban)""";"""Only national""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361972;Secondhand tobacco smoke exposure and pulmonary function: A cross-sectional study among non-smoking employees of bar and restaurants in Santiago, Chile;Parro, J., Aceituno, P., Droppelmann, A.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Monitoring network design"", ""Modeling air pollution""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""Other"", ""Biological end-point""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Others not classified"""
7361971;Association between coal and firewood combustion and hospital admissions and mortality in Chile 2015-An ecological approach;Paredes, M. C., Munoz, M. P., Salgado, M. V.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Human health"", ""Social and Cultural""";"""Epidemiological"", ""Others not classified""";"""NA - Not applicable""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"""
7361970;Country-level determinants of the severity of the first global wave of the COVID-19 pandemic: An ecological study;Pana, T. A., Bhattacharya, S., Gamble, D. T.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""concentrations"", ""Epidemiological"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361969;POLYCYCLIC AROMATIC HYDROCARBONS AND POLYCHLORINATED BIPHENYLS IN COASTAL ENVIRONMENTS OF VALDIVIA AND VALPARAÃSO, CHILE;Palma-Fleming, HernÃN, Cornejo, Carlos, GonzÃLez, Myriam  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos "", ""PCB - Polychlorinated biphenyls""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone"", ""South zone""";"""Industrial and commercial emissions "", ""Power generation"""
7361968;Evaluation of micronucleus frequencies in blood lymphocytes from smelting plant workers exposed to arsenic;Paiva, L., MartÃ­nez, V., Creus, A.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)"", ""International organization""";"""Other unclassified""";"""Indoor (eg indoor, work environments)""";"""Human health"", ""Regulatory and Legal""";"""Epidemiological"", ""concentrations""";"""HM - heavy metals""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Great North""";"""Industrial and commercial emissions "", ""Mining"""
7361967;Sister chromatid exchange analysis in smelting plant workers exposed to arsenic;Paiva, L., MartÃ­nez, V., Creus, A.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361966;Variables meteorolo?gicas y niveles de concentracio?n de material particulado de 10 ?m en Andacollo, Chile: un estudio de dispersio?n y entropi?as;Pacheco, P. R., Parodi, M. C., Mera, E. M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Others not classified""";"""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Little North""";"""Not applicable"""
7361965;Localized measurements of atmospheric pollutants and meteorological variables: The second law of thermodynamics;Pacheco, P. R., Mera, E. M., Salini, G. A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Others not classified""";"""Computer Modeling"", ""concentrations""";"""COx - Oxides of Carbon"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361964;Entropy and neguentropy: An approach to the process of pollutant diffusion and its sustainability;Pacheco HernÃ¡ndez, P. R., Salini CalderÃ³n, G. A., Mera Garrido, E. M. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Others not classified""";"""concentrations"", ""Meteorological measurements""";"""COx - Oxides of Carbon"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361963;Heat Roadmap Chile: A national district heating plan for air pollution decontamination and decarbonisation;Paardekooper, S., Lund, H., Chang, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Built environment and materials (buildings, constructions, polymers, etc)"", ""Regulatory and Legal"", ""Economic""";"""Others not classified"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"""
7361962;Measuring the impact of alternative and nuclear energy consumption, carbon dioxide emissions and oil rents on specific growth factors in the panel of Latin American countries;Ozturk, I. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Exposure assessment"", ""Information of the public""";"""Managment, economic, legal, social""";"""Economic""";"""Others not classified"", ""concentrations""";"""Other"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"", ""Power generation"""
7361961;Evaluation of sustainable forest and air quality management and the current situation in europe through operation research methods;Ozkaya, G., Erdin, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Modeling air pollution""";"""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Economic""";"""Others not classified""";"""PM - particulate matter"", ""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361960;Effect of atmospheric pollution on the respiratory system;OyarzÃºn, M., Pino, P., Ortiz, J.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361959;Declaration of the Chilean Academy of Medicine on atmospheric pollution in Santiago;OyarzÃºn, M. ;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361958;Efectos proinflamatorios de la contaminaciÃ³n atmosfÃ©rica;OyarzÃºn G, Manuel, Dussaubat D, Nelson, Miller A, M. Eugenia  et al.;Toro, Richard;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Assessment of representativeness""";"""Laboratory"", ""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""Biological composition"", ""Toxicological"", ""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""Biological end-point"", ""O3 ozone - photochemical smog"", ""COx - Oxides of Carbon"", ""PM - particulate matter""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361957;Life cycle assessment model applied to housing in Chile;Oyarzo, J., Peuportier, B. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Managment, economic, legal, social""";"""Human health"", ""Climate"", ""Economic"", ""Built environment and materials (buildings, constructions, polymers, etc)""";"""Others not classified"", ""concentrations""";"""GHGs - greenhouse gases""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""National level(not insular or antarctic)""";"""Others not classified"""
7361956;Prevalence of chronic bronchitis in an urban and a rural area of Santiago and its relation to the degree of air pollution;Oyanguren, H., Donoso, H., Prieto, L.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361955;Air pollution and health effects: A study of medical visits among children in Santiago, Chile;Ostro, B. D., Eskeland, G. S., Sanchez, J. M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Assessment of representativeness"", ""Laboratory study""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations"", ""Meteorological measurements""";"""PM - particulate matter"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
