ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361686;Develando economÃ©tricamente los impactos sobre la concentraciÃ³n atmosfÃ©rica de material particulado de un proyecto de remodelaciÃ³n del transporte urbano: El caso del Transantiago en Chile;Figueroa, E., GÃ³mez-Lobo, A., Jorquera, P.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)"", ""Managment, economic, legal, social""";"""Economic"", ""Human health"", ""Regulatory and Legal""";"""Others not classified"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361685;Sustainable development in a natural resource rich economy: The case of Chile in 1985-2004;Figueroa, E., Calfucura, E. T. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Laboratory study""";"""Managment, economic, legal, social""";"""Economic""";"""Others not classified""";"""NA - Not applicable""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Mining"", ""Industrial and commercial emissions """
7361684;A microscopic and chemical study of airborne coarse particles with particular reference to sea salt in chile at 30Â° s;Fiebig-Wittmaack, M., Schultz, E., CÃ³rdova, A. M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Built environment and materials (buildings, constructions, polymers, etc)"", ""Ecological  (animal, plants)"", ""Regulatory and Legal""";"""Meteorological measurements"", ""Physical measurements of pollutants"", ""concentrations"", ""Chemical composition""";"""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter"", ""AC-Anion and cations"", ""C  - TC/EC/OC/BC - Carbon compounds""";"""Season - Year""";"""Regional""";"""Only national""";"""Little North""";"""Agriculture "", ""Natural sources "", ""Domestic heating / wood burning"", ""Traffic """
7361683;Study protocol for the Maule Cohort (MAUCO) of chronic diseases, Chile 2014-2024;Ferreccio, C., Roa, J. C., Bambs, C.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361682;A GIS-based framework to identify priority areas for urban environmental inequity mitigation and its application in Santiago de Chile;FernÃ¡ndez, I. C., Wu, J. ;Toro, Richard;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Information of the public"", ""Compliance assessment""";"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Social and Cultural"", ""Regulatory and Legal""";"""Satellite approach"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Regional""";"""Only national""";"""Central zone""";"""Not applicable"""
7361681;Assessing environmental inequalities in the city of Santiago (Chile) with a hierarchical multiscale approach;FernÃ¡ndez, I. C., Wu, J. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Social and Cultural"", ""Regulatory and Legal""";"""Satellite approach"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361680;A multiple-class distance-decaying approach for mapping temperature reduction ecosystem services provided by urban vegetation in Santiago de Chile;FernÃ¡ndez, I. C. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361679;Presence of nitrous oxide hotspots in the coastal upwelling area off central Chile: An analysis of temporal variability based on ten years of a biogeochemical time series;FarÃ­as, L., Besoain, V., GarcÃ­a-Loyola, S. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Climate"", ""Ecological  (animal, plants)""";"""Meteorological measurements"", ""concentrations""";"""AC-Anion and cations"", ""BIO - Biological (Pollen, virus, bacteriaâ€™s)"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Natural sources """
7361678;AIR-POLLUTION IN SANTIAGO, CHILE;Farga, V. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361677;Air pollution from motor vehicles: issues and options for Latin American countries;Faiz, A., Gautam, S., Burki, E. ;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361676;Geochemical evidence (C, N and Pb isotopes) of recent anthropogenic impact in south-central Chile from two environmentally distinct lake sediment records;Fagel, N., Bertrand, S., Mattielli, N.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""C  - TC/EC/OC/BC - Carbon compounds"", ""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions """
