Column1;Ã¯..ActiveScreener.Id;Time.of.Screening;Title;Authors;Question;List.of.Reviewers;Answers
1608;7362135;04/29/2021 22:34:49;Preliminary characterization of polycyclic aromatic hydrocarbons, nitrated polycyclic aromatic hydrocarbons and polychlorinated dibenzo-p-dioxins and furans in atmospheric PM10 of an urban and a remote area of Chile;Scipioni, C., Villanueva, F., Pozo, K.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;South zone
1609;7362135;04/29/2021 22:34:49;Preliminary characterization of polycyclic aromatic hydrocarbons, nitrated polycyclic aromatic hydrocarbons and polychlorinated dibenzo-p-dioxins and furans in atmospheric PM10 of an urban and a remote area of Chile;Scipioni, C., Villanueva, F., Pozo, K.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;Austral austral
1610;7362135;04/29/2021 22:34:49;Preliminary characterization of polycyclic aromatic hydrocarbons, nitrated polycyclic aromatic hydrocarbons and polychlorinated dibenzo-p-dioxins and furans in atmospheric PM10 of an urban and a remote area of Chile;Scipioni, C., Villanueva, F., Pozo, K.  et al.;Emission  source in study;Manzano, Carlos;Traffic 
1611;7362135;04/29/2021 22:34:49;Preliminary characterization of polycyclic aromatic hydrocarbons, nitrated polycyclic aromatic hydrocarbons and polychlorinated dibenzo-p-dioxins and furans in atmospheric PM10 of an urban and a remote area of Chile;Scipioni, C., Villanueva, F., Pozo, K.  et al.;Emission  source in study;Manzano, Carlos;Industrial and commercial emissions 
1612;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Include this reference?;Sanchez, Luis;Yes, include the reference
1613;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
1614;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
1615;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Strategies;Sanchez, Luis;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
1616;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
1617;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Potential effects or impact;Sanchez, Luis;Regulatory and Legal
1618;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;What is the evaluation method?;Sanchez, Luis;concentrations
1619;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
1620;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;What is the evaluation method?;Sanchez, Luis;Computer Modeling
1621;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;HM - heavy metals
1622;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;1 Year or more
1623;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Global
1624;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;SPATIAL 2. National or International;Sanchez, Luis;Only national
1625;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;Antartic
1626;7362134;05/06/2021 19:16:46;Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile;Schwanck, F., Simoes, J. C., Handley, M.  et al.;Emission  source in study;Sanchez, Luis;Mining
1627;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Include this reference?;Toro, Richard;Yes, include the reference
1628;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;DUDOSO;Toro, Richard;No, no tengo dudas en mis respuestas
1629;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Characterize the organization to which the authors are affiliated?;Toro, Richard;Academia (university, institute, others)
1630;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Strategies;Toro, Richard;Information of the public
1631;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Strategies;Toro, Richard;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
1632;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Study characteristics;Toro, Richard;Indoor (egIndoor, work environments)
1633;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Toro, Richard;Regulatory and Legal
1634;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Toro, Richard;Economic
1635;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the evaluation method?;Toro, Richard;Others not classified
1636;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the evaluation method?;Toro, Richard;Meteorological measurements
1637;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the contaminant or variable under study?;Toro, Richard;PM - particulate matter
1638;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;TEMPORAL: What is the temporal scale of the study?;Toro, Richard;1 Year or more
1639;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 1:What is the spatial scale of the study?;Toro, Richard;Local (rural, suburban, urban)
1640;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 2. National or International;Toro, Richard;International comparisons
1641;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Toro, Richard;Central zone
1642;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Toro, Richard;South zone
1643;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Toro, Richard;Power generation
1644;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Toro, Richard;Industrial and commercial emissions 
1645;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Toro, Richard;Domestic heating / wood burning
1646;7362133;05/28/2021 02:46:23;Firewood demand and energy policy in south-central Chile;Schueftan, A., Sommerhoff, J., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Toro, Richard;Traffic 
1647;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Include this reference?;Toro, Richard;Yes, include the reference
1648;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;DUDOSO;Toro, Richard;No, no tengo dudas en mis respuestas
1649;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Characterize the organization to which the authors are affiliated?;Toro, Richard;Academia (university, institute, others)
1650;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Strategies;Toro, Richard;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
1651;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Strategies;Toro, Richard;management tool
1652;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;New Question;Toro, Richard;propuesta de herramienta de gestiÃƒÆ’Ã‚Â³n
1653;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Study characteristics;Toro, Richard;Ambient (eg outdoor)
1654;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Toro, Richard;Human health
1655;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Toro, Richard;Regulatory and Legal
1656;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the evaluation method?;Toro, Richard;Others not classified
1657;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the contaminant or variable under study?;Toro, Richard;PM - particulate matter
1658;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;TEMPORAL: What is the temporal scale of the study?;Toro, Richard;Not applicable
1659;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 1:What is the spatial scale of the study?;Toro, Richard;Local (rural, suburban, urban)
1660;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 2. National or International;Toro, Richard;Only national
1661;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Toro, Richard;Central zone
1662;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Toro, Richard;South zone
1663;7362132;04/29/2021 18:37:37;Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Toro, Richard;Domestic heating / wood burning
1664;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Include this reference?;Manzano, Carlos;Yes, include the reference
1665;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;DUDOSO;Manzano, Carlos;No, no tengo dudas en mis respuestas
1666;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;COMENTARIOS, si los hay.;Manzano, Carlos;strategy
1667;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Academia (university, institute, others)
1668;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Strategies;Manzano, Carlos;management tool
1669;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;New Question;Manzano, Carlos;Herramienta de gestion/ Encuestas
1670;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Study characteristics;Manzano, Carlos;Managment, economic, legal, social
1671;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Manzano, Carlos;Regulatory and Legal
1672;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Potential effects or impact;Manzano, Carlos;Economic
1673;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the evaluation method?;Manzano, Carlos;concentrations
1674;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the evaluation method?;Manzano, Carlos;Others not classified
1675;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;What is the contaminant or variable under study?;Manzano, Carlos;PM - particulate matter
1676;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;TEMPORAL: What is the temporal scale of the study?;Manzano, Carlos;1 Year or more
1677;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 1:What is the spatial scale of the study?;Manzano, Carlos;Local (rural, suburban, urban)
1678;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 2. National or International;Manzano, Carlos;Only national
1679;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;South zone
1680;7362131;05/24/2021 16:15:21;Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs;Schueftan, A., GonzÃƒÆ’Ã‚Â¡lez, A. D. ;Emission  source in study;Manzano, Carlos;Domestic heating / wood burning
1681;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Include this reference?;Manzano, Carlos;Yes, include the reference
1682;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;DUDOSO;Manzano, Carlos;No, no tengo dudas en mis respuestas
1683;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;COMENTARIOS, si los hay.;Manzano, Carlos;no se utilizan intervalos de tiempo
1684;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Academia (university, institute, others)
1685;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Strategies;Manzano, Carlos;management tool
1686;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;New Question;Manzano, Carlos;herramienta de gestion
1687;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Study characteristics;Manzano, Carlos;Managment, economic, legal, social
1688;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Potential effects or impact;Manzano, Carlos;Economic
1689;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Potential effects or impact;Manzano, Carlos;Regulatory and Legal
1690;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;What is the evaluation method?;Manzano, Carlos;Computer Modeling
1691;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;What is the evaluation method?;Manzano, Carlos;concentrations
1692;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;What is the contaminant or variable under study?;Manzano, Carlos;VOCs/SVOCs - Organic Compounds
1693;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;TEMPORAL: What is the temporal scale of the study?;Manzano, Carlos;Not applicable
1694;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;SPATIAL 1:What is the spatial scale of the study?;Manzano, Carlos;Global
1695;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;SPATIAL 2. National or International;Manzano, Carlos;International comparisons
1696;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;National level(not insular or antarctic)
1697;7362130;06/06/2021 18:44:15;Adapting the European approach of Best Available Techniques: case studies from Chile and China;Schollenberger, H., Treitz, M., Geldermann, J. ;Emission  source in study;Manzano, Carlos;Industrial and commercial emissions 
1698;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Include this reference?;Toro, Richard;Yes, include the reference
1699;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;DUDOSO;Toro, Richard;No, no tengo dudas en mis respuestas
1700;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Characterize the organization to which the authors are affiliated?;Toro, Richard;Academia (university, institute, others)
1701;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Strategies;Toro, Richard;Modeling air pollution
1702;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Study characteristics;Toro, Richard;Ambient (eg outdoor)
1703;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Potential effects or impact;Toro, Richard;Others not classified
1704;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Cual?;Toro, Richard;base para el diseÃƒÆ’Ã‚Â±o de futuras campaÃƒÆ’Ã‚Â±as de mediciÃƒÆ’Ã‚Â³n
1705;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;What is the evaluation method?;Toro, Richard;Computer Modeling
1706;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;What is the evaluation method?;Toro, Richard;concentrations
1707;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;What is the contaminant or variable under study?;Toro, Richard;COx - Oxides of Carbon
1708;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;TEMPORAL: What is the temporal scale of the study?;Toro, Richard;Month - to 3 months
1709;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;SPATIAL 1:What is the spatial scale of the study?;Toro, Richard;Local (rural, suburban, urban)
1710;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;SPATIAL 2. National or International;Toro, Richard;Only national
1711;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Toro, Richard;Central zone
1712;7362129;05/07/2021 11:51:30;Modelling of air pollution dispersion in Santiago de Chile;Schmitz, R. ;Emission  source in study;Toro, Richard;Not applicable
1713;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Include this reference?;Sanchez, Luis;Yes, include the reference
1714;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
1715;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
1716;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Strategies;Sanchez, Luis;Modeling air pollution
1717;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Strategies;Sanchez, Luis;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
1718;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
1719;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;Potential effects or impact;Sanchez, Luis;Ecological  (animal, plants)
1720;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
1721;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the evaluation method?;Sanchez, Luis;concentrations
1722;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the evaluation method?;Sanchez, Luis;Computer Modeling
1723;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the evaluation method?;Sanchez, Luis;Satellite approach
1724;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the contaminant or variable under study?;Sanchez, Luis;Other
1725;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;What is the contaminant or variable under study?;Sanchez, Luis;C  - TC/EC/OC/BC - Carbon compounds
1726;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;1 Year or more
1727;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Global
1728;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;SPATIAL 2. National or International;Sanchez, Luis;International comparisons
1729;7362128;06/11/2021 14:50:59;Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates;Schlitzer, R. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;National level(not insular or antarctic)
